label,text
Neutral,"Kajian itu harus meliputi analisis permintaan, yang merangkumi pola demografi yang berbeza sama ada mukim yang terdiri daripada tanggungan muda dan keluarga, penduduk yang bekerja atau pesara dan pendapatan"
Positive,anah juga tidak dicagar. 
Positive,"Oleh itu, kita tak mau ada orang bawa amalan politik benci sama sendiri, berdendam, bersangka buruk, tiada hala tuju dan celaru dalam masyarakat yang akhirnya berlaku perpecahan sesama kita dan permusuhan"
Positive,Tindakan pengusiran boleh dilakukan jika mereka terus-menerus melakukan kesalahan mengikut APJ 1987
Positive,"Kalau benar-benar mahu berpolitik, maka, inilah masanya"
Negative,"Kadar pertumbuhan pekerjaan kemahiran tinggi tidak selari dengan kadar peningkatan tenaga kerja berpendidikan tinggi yang semakin tinggi,"
Negative,"Beliau seorang pemimpin masyarakat, tetapi kenapa ditangkap sedemikian?"
Positive,"Saya mungkin akan sambung ijazah undang-undang, dan sudah tentu saya akan cuba kuruskan badan."
Positive,"Kita harap Pas dan kerajaan dapat bersatu supaya institusi agama dapat diperkukuhkan, begitu juga dengan institusi raja dan paling penting penyatuan umat Islam secara keseluruhannya"
Negative,Satu lagi elemen pembohongan yang ketara adalah gaya hidup mewahnya sekeluarga termasuk amalan  penggunaan pesawat eksekutif
Negative,"Kalau kita perhatikan juga, sebelum ini mereka gunakan skrip yang sama untuk hentam Bersatu bila mereka keluar dari parti. "
Negative,"Kalau kita sibuk nak merampas kuasa mustahil kita nak kecapi apa yang kita dapat hari ini dan negara jadi kucar-kacir,"
Negative,"Isu ini berlegar setiap kali tiba musim pilihan raya sejak dahulu lagi. Walaupun kebenaran berita ini boleh diragui, namun ia mampu mencetus kebimbangan seterusnya menjejaskan kredibiliti sistem pilihan raya secara keseluruhannya."
Positive, Sekarang ini tempoh kita bersama mereka dipanjangkan kepada 36 minggu
Negative,"memperlihatkan rakyat memperolehi maklumat yang bercampur aduk antara kebenaran, fakta dan penipuan."
Negative,Harga produk ini sejak beberapa tahun terakhir menunjukkan peningkatan ketara
Neutral,Nak buat macam mana
Positive,"Tetapi peristiwa pada hari ini (perasmian PGU) dan perasmian PU Sendayan membuktikan semua tuduhan, semua berita palsu, semua anggapan yang negatif adalah sesuatu yang harus ditolak oleh kita dan rakyat keseluruhannya kerana kejayaan kita dilihat sendiri"
Neutral,Beliau (Shahrir) berkata pemindahan semula tanpa kos
Neutral,"Bank Negara juga harus menjelaskan mengenai dakwaan pemindahan sejumlah besar wang ke akaun dolar bank RHB milik sebuah syarikat persendirian, mendedahkan apa yang dibenarkan dalam ruang lingkup had perundangan"
Neutral,Masalah sebenar ialah keengganan DAP untuk menyokong Hadi sebagai perdana menteri
Neutral,"Kalau bekas (ahli Bersatu), kenapa masih menyibuk?"
Positive,"Sebelum ini, GPS dijadikan sebagai petunjuk prestasi utama secara purata"
Negative,"Kita telah ada orangnya (untuk buat kajian), kita ada pengalaman, kita ada mesin tetapi lesen tidak ada."
Negative,"Isu pesawat disabotaj, semua pihak berkaitan termasuk syarikat pemilik pesawat itu sudah memberi kenyataan bahawa tiada unsur sabotaj"
Neutral,Contoh paling terdekat ialah mengenai persempadanan.
Positive,"Ternyata sekali, apa juga kebimbangan kita seperti berlaku di masa-masa lampau seperti Ops Lalang tidak akan berulang lagi"
Negative,segala macam strategi digunakan untuk menjatuhkan maruah dan kredibiliti pihak kerajaan
Neutral,Pelbagai faktor perlu diambil kira termasuk unsur sabotaj kerana persaingan dalam perniagaan dan sebagainya
Negative,Saya menerima banyak laporan sejak kebelakangan ini ramai pengusaha stesen minyak yang menanggung kerugian dan terpaksa gulung tikar akibat isu ini
Negative,"Beliau seolah-olah tidak memahami kuliah saya dengan betul, pastinya beliau akan kandas dalam peperiksaannya"
Neutral,Ini soal pentadbiran.
Negative,"Kononnya tanpa GST Kerajaan tidak boleh berfungsi, tak dapat bangunkan negara."
Negative,Perkara ini yang menyebabkan pengadu tampil mempersoalkan kepada kepada UTK dan mohon cara baik mengembalikan wangnya tetapi tidak dapat.
Neutral,Saya sendiri dah beritahu tidak akan bertanding
Neutral,Peminta bantuan juga boleh melihat pergerakan sukarelawan mana yang datang di telefon bimbit
Neutral,"Sama ada kami boleh melakukan siasatan bersama kemudian atau kami boleh serahkan kemudian, kami dalam proses mengumpul bukti dan menyiasat"
Positive,Orang yang mengambil ketum mereka tak mengantuk macam orang yang ambil metadon
Positive,Itulah sebabnya saya mengambil kira kempen Blue Ribbon ini sebagai satu daripada petunjuk prestasi utama (KPI) saya sebagai Menteri Kesihatan mulai tahun ini iaitu melalui peningkatan bilangan premis yang disijilkan secara sukarela sebagai bebas asap rokok secara lebih meluas
Neutral,"Mana-mana pihak, sama ada sekolah kebangsaan atau sekolah Cina"
Positive,Saya seronok di sini kerana kedatangan saya sangat dialualukan penduduk.
Neutral,Rondaan akan menggunakan kenderaan penguatkuasa berlogo dengan membuka lampu mata arah  dengan kelajuan tidak melebihi 70km/jam menggunakan lorong kecemasan atau lorong paling kiri jalan
Positive,"Kita bersedia bekerjasama dengan rakan media dalam apa jua tindakan diambil, media adalah pihak yang sentiasa berada di lapangan dan mendengar keluhan rakyat yang boleh dikongsikan dengan SPRM Pahang untuk tindakan lanjut"
Positive,Pasukan kami melakukan yang terbaik untuk menyelesaikan masalah ini secepat mungkin
Positive,Kita akan mempromosi dan meningkatkan kesedaran masyarakat India mengenai kepentingan melabur dan menggunakan peluang ini sambil berharap semua 1.5 bilion unit amanah itu dapat dilanggan dalam tempoh enam bulan selepas pelancarannya
Neutral,"Saya tidak pasti apa itu muta’ah, saya tidak tahu muta’ah, saya tidak tahu apa itu kahwin kontrak"
Neutral,"Tetapi di negara, lazimnya, apa yang kita lihat adalah pertumbuhan itu (dijana oleh) perbelanjaan domestik"
Positive,"Ini hanya baru permulaan bagi lebih banyak potensi kerjasama, ketika e-dagang sedang pesat membangun"
Negative,Ini sekali gus boleh menjatuhkan semangat petugas BN di Perak mengenai kemampuan BN mengekalkan kemenangannya.
Positive,"terima kasih atas sumbangan yang begitu besar,"
Positive,Saya tidak lari dari Kluang.
Neutral,"Selepas menghadiri sesi soal jawab lisan di Parlimen pagi ini, saya di temuramah oleh wartawan The Australian"
Negative,Ia jelas menunjukkan ekonomi negara mewujudkan pekerjaan kemahiran rendah pada kadar lebih cepat daripada pekerjaan kemahiran tinggi dan kita menghadapi kelompongan dalam pekerjaan kemahiran pertengahan
Positive,Kerajaan mempunyai rangka tindakan yang kukuh untuk membangunkan negara di bawah kepimpinan perdana menteri dan rakyat perlu menolak pembangkang yang terus bermain politik retorik dan kebencian berbanding BN yang mengamalkan politik membina
Positive,"Kami tidak membayar jumlah penuh pun yang dicadangkan oleh HSS Integrated Sdn Bhd, yang mana juga terlibat dengan projek ECRL"
Positive,"Kita tidak boleh kata kos sara hidup itu naik semata-mata tentang satu harga barang sahaja, sebab kalau ikutkan barang juga terbahagi kepada beberapa faktor"
Positive,"Kita mengambil pengajaran daripada kejadian di Wang Kelian, Perlis pada 2015."
Positive,Jangan diskriminasikan hak rakyat Pulau Pinang untuk mendapat bantuan tersebut
Neutral,Apa benda yang nak kata magik sangat
Neutral,Bolehkah pendakwa ad hoc memihak kepada sesebuah parti politik dalam hal ini?
Positive,Rakyat perlu sedar dan bijak memilih pemimpin yang benar-benar memperjuangkan nasib Melayu.
Positive,Saya hargai kehadiran beliau ke pejabat saya
Neutral,Kawasan ini digelar kawasan hitam dan merupakan laluan komunis.
Positive,"Cuma ada penyelenggaraan yang dijadualkan, sudah tentu kita perlu selenggara kemudahan kita."
Positive,"Tetapi kalau ‘double formation double track’ sudah tentu lebih efisien dan lebih mampu diurus lebih baik terutama dari segi jadual dan kelajuan kereta api,"
Positive,Ini isu nasional yang memerlukan perhatian serius dan campur tangan daripada kerajaan serta semua pihak
Negative,Ia membabitkan soal diskriminasi terhadap dua golongan graduan.
Neutral,Jadi kita tunggu pengumuman lain selepas Ujian Pencapaian Sekolah Rendah (UPSR) nanti
Neutral,Tetapi ia bergantung kepada tarikh pilihan raya
Neutral,"Jika saya meminta orang yang popular memuat naik status tentang kenyataan tadi, FB dan duit satu sen di media sosialnya"
Positive,"Kemasukan saya dalam parti mana-mana pun termasuk Amanah,  pendirian saya bukan bermatlamat untuk menjadi calon kerana parti sudah tentukan kerusi dan calon yang bakal bertanding."
Positive,"Pada masa sama, kerajaan negeri juga telah buat bayaran sebanyak RM700 kepada lebih 50,000 mangsa banjir."
Negative,Pada saya ini cuma alasan
Positive,Usaha ini berkembang pantas kerana keutamaan ketika ini adalah keperluan bantuan dan perlindungan kemanusiaan untuk rakyat Yaman
Positive,"Ini memang terkawal tidak naik harga, maka jika kata kos sara hidup naik sebab barangan, ini tidak betul"
Positive,Kami tidak menyentuh mana-mana bahagian kawasan ibadah dalam muzik video tersebut dan saya minta semua pihak yang berkaitan agar tidak salah faham disebabkan oleh laporan berita yang tidak tepat
Positive,"Kita telah keluarkan subsidi berjumlah RM26 bilion secara bersasar termasuklah Bantuan Rakyat 1Malaysia (BR1M) dan bantuan kepada nelayan, petani serta pesawah."
Neutral,Sesi taklimat berkenaan Rang Undang-undang ini bersama Ahli Parlimen BN dan pembangkang juga akan diadakan dalam tempoh terdekat
Negative,"Dengan kemahiran dan kepantasan teknologi, mereka akan sentiasa jauh di hadapan pasukan penguatkuasa bagi meraih untung besar dan cepat, termasuk membelakangkan segala undang-undang dan peraturan"
Positive,Bersatulah kalau nak maju
Positive,"Jumlah ini mewakili semua penyedia perkhidmatan ‘e-hailing’ bukan sahaja Uber dan Grab tetapi semua syarikat tempatan,"
Positive,"Kepada Rafizi, janganlah pusing daripada kedudukan yang satu ketika menyokong kebenaran, hendakkan ketelusan, benci kronisme, menyokong kepentingan awam"
Positive,"Kami turut menggesa Suruhanjaya Hak Asasi Manusia (Suhakam) untuk menjalankan inkuiri berhubung dakwaan pelanggaran hak asasi dalam kes terbabit dan mengemukakan laporan berhubung siasatan, penemuan dan rumusannya"
Neutral,Kebanyakan laporan dibuat ejen penarik kenderaan yang dilantik institusi kewangan hanya selepas proses menarik kenderaan dijalankan bagi menyatakan kesahihan tindakan diambil mereka mengikut prosedur perundangan
Negative,"Kami percaya, pihak yang menjalankan penipuan ini cuba untuk memperdaya responden menggunakan jenama Pos Malaysia tanpa kebenaran"
Positive,Saya bersedia menggalas tanggungjawab ini bersama beliau (Budiman). 
Neutral,Bagaimanapun kami tidak akan mendedahkan butiran lanjut untuk menghormati privasi dan keselamatan ahli keluarga yang terjejas
Positive,"Oleh yang demikian, permintaan ekstradisi negara China telah kita berikan pertimbangan dan pihak Polis Diraja Malaysia (PDRM) sedang melakukan siasatan yang terperinci untukmemperolehi beberapa maklumat."
Negative,Saya dapati ada benda tak kena dan periuk nasi saya adalah dalam perundangan. 
Positive,Kami memfailkan semakan kehakiman untuk mendesak JPPM memberi respons berkenaan pendaftaran kami dan kami juga mahu mendesak mereka mendaftarkan PH seperti mana dalam permohonan.
Neutral,Ahmad Zahid  kata akan kemukakan kepada perdana menteri tapi tak tahu apa berlaku. 
Positive,Faham atau tidak biar rakyat yang menghukum
Positive,Jadi raya pun boleh disambut dengan meriah...
Negative,"Hampir reda dengan isu putus cinta, nama Zul Ariffin kembali disebut apabila dikatakan telah memuat naik gambar alat sulit menerusi Insta Story dalam Instagram (IG) miliknya malam tadi"
Positive,"Namun saya tegaskan kes berkenaan tiada kaitan dengan kerajaan negeri, malah kita tidak pernah masuk campur kerana hak pengurniaan dan penarikan pingat adalah hak keistimewaan baginda sultan"
Positive,"Islam bukan hanya mengenai hubungan seseorang dengan Tuhan, tetapi juga tingkah lakunya sesama manusia dan bukan hanya umat Islam"
Positive,"Pelancaran Jentera BN Parlimen Jasin baru-baru ini, kita melihat kehadiran jentera ini begitu ramai dalam kalangan wanita, pemuda dan puteri."
Positive,Kita tahu kebanyakan sekolah perlu diselenggarakan daripada semasa ke semasa
Positive,"Daripada menyokong inisiatif itu, mereka sebenarnya mahu memudahkan orang ramai menggunakan plastik"
Negative,Silap-silap boleh putus saudara jika tidak dikawal.
Negative,Ada konon seorang hamba Allah itu cakap saya tak hormat hak asasi
Positive,"Kalau tak sokong bunga (Bersatu), kita nak sokong siapa lagi,"
Negative,Kenyataan itu dibuat ekoran muncul klip audio yang tersebar melalui aplikasi WhatsApp yang mempunyai maklumat apa yang didakwa pembaziran melibatkan sepinggan kek hari jadi Datin Seri Rosmah Mansor 
Negative,AGM yang diadakan tidak mengikut perlembagaan
Positive,"Sebagai ibu tunggal, kita memberi nilai tambahan kepada mereka yang memohon"
Negative,Banyak masa kempen terpaksa dihabiskan untuk menjawab isu sedemikian sehingga isu-isu pokok yang berkaitan dengan kebajikan rakyat tenggelam
Neutral,"Kontrak ini telah diluluskan kepada 3 syarikat, bukan satu sahaja dan proses diikuti di bahagian perolehan KDN."
Neutral,"Sudah bagi tahu jumpa DO (Pegawai Daerah), bukan jumpa Sultan."
Neutral,Saya sertai banyak persidangan antarabangsa
Positive,"Terima kasih juga atas keperihatinan kerajaan terhadap pelbagai bantuan dan subsidi termasuk, subsidi minyak diesel dan petrol yang diberikan bagi mengurangkan kos operasi, insesntif hasil tangkapan ikan, pembangunan tukun tiruan,  Insuran Nelayan,  pemberian Sistem Identifikasi Autimatik (AIS) dan lain-lain"
Positive,membidas para pemimpin pembangkang yang gagal hadir sesi penerangan beliau walaupun dianjurkan di kubu mereka
Neutral,Buka kepada 3 syarikat dan diluluskan kontrak itu.
Neutral,"Dalam era teknologi maklumat sekarang, di mana keselamatan maklumat peribadi menjadi asas pelbagai interaksi dan transaksi harian kita, umum perlu percaya dan yakin bahawa institusi-institusi dan pihak-pihak yang diamanahkan menjaga maklumat peribadi kita bertanggungjawab ke atas amanah itu."
Positive,Ia juga untuk mengelak pihak yang tidak bertanggungjawab mengambil kesempatan atas isu ini
Neutral,"Sebagai penjawat awam, semua memang sudah sedia maklum mereka terikat dengan Akta Rahsia Rasmi"
Positive,"Sejak  dulu  lagi, politik orang Melayu berlaku dalam keadaan aman"
Positive,Tak ada orang yang memahami logiknya
Neutral,Akta ini juga sudah disemak jawatankuasa dan pesuruhjaya penyemakan undang-undang melalui peruntukan mengikut Akta Penyemakan Undang-Undang 1968 pada 1969
Positive,Mereka dah berani gunakan Bahasa Inggeris.
Negative,“Tempoh hutang itu diselesaikan bergantung kepada projek-projek yang dilaksanakan sekarang untuk mewujudkan sumber kewangan sebab kita dah lakukan kesilapan. 
Neutral,Bila dah tetapkan di situlah kita letakkan calon untuk wakili Gagasan Sejahtera.
Positive,Kebanyakan program adalah di peringkat komuniti bagi membolehkan ia dimanfaatkan oleh wanita daripada pelbagai lapisan masyarakat
Positive,"Penoreh getah pun sekarang hidup susah, mungkin apabila dibenarkan (mengkomersialkan) ketum, mereka boleh eksport ketum yang telah dijadikan sabun"
Positive,Projek pertanian di Bachok memberikan maklum balas sangat baik apabila petani yang kita bantu sudah mampu melahirkan 12 lagi petani di bawahnya.
Positive,"Jaguh sukan lahir bukan sebab keturunan, ketokohan muncul dengan latihan berterusan. Jadi, ia perlu direncana secara berstruktur, tentu Kementerian Belia dan Sukan akan diberi peruntukan lebih besar kerana sukan bukan hanya untuk suka-suka"
Negative,Had perbelanjaan calon pilihan raya langsung tidak mampu mengawal perbelanjaan parti politik.
Positive,"Berdasarkan pemantauan sebelum ini, kebanyakkannya berada dalam keadaan memuaskan memandangkan mereka berdaftar dengan Jabatan Agama Islam Negeri Perlis (JAIPs)"
Positive,"Sejak zaman pemerintahan Penjaga Dua Kota Suci Raja Abdulaziz Al Saud, tidak pernah ada pihak bersaing dengan Arab Saudi dalam pengurusan Haramain ini."
Neutral,"Tuan-tuan sebagai ketua cawangan, ketua pemuda, ketua wanita, setiausaha cawangan yang terpilih ini"
Negative,"Saya menjangkakan yang saya akan didenda... mungkin saya dan Johari, (didenda) sejumlah RM1 juta, dan jika kami tidak dapat membayar jumlah itu, mungkin kami terpaksa menghabiskan masa dalam penjara."
Neutral,CRCC juga memberi jaminan bahawa keunikan terowong Pulau Pinang dan tiga projek jalan tidak boleh digunakan untuk mengukur prestasi mereka
Positive,Apabila kami masuk PPBM baru kami tahu betul
Positive,beberapa penganalisis politik percaya parti gabungan itu mempunyai peluang yang baik untuk merampas sembilan daripada kerusi yang disandang pembangkang melalui pilihan raya umum lepas
Neutral,"Saya mungkin akan bertanding di Putrajaya, mungkin di Kubang Pasu, atau di Raub (Pahang) mungkin"
Positive,Rang Undang-undang ini digubal demi kepentingan masyarakat umum bagi melindungi rakyat daripada lambakan berita tidak benar serta menjadi mangsa kepada berita tidak benar.
Positive,Ini bagi menentukan reka bina dan pelaksanaan projek ini akan dilakukan dalam masa terdekat ini dan penting bagi Singapura untuk membentuk badan bertindak seperti yang dilakukan oleh Malaysia
Negative,"Apa yang kita lihat hari ini adalah perasaan campur baur, gembira dan sedih"
Positive,Saya harap mereka baca dengan baik
Negative,"Saya rasa, soalan disediakan telah memerangkap beliau."
Positive,"Ini termasuklah sama ada Dr Mahathir melakukan perkara baik atau tidak, mereka tidak perlukan nasihat orang macam Zamihan"
Positive,"Kita jangka pelaksanaan projek bermula pada 2019 atau 2020, dan mengambil masa sehingga 2025 bagi melengkapkan ketiga-tiga fasa"
Negative,"PAS pula meninggalkan Pakatan Rakyat (PR) sehingga memaksa DAP dan Parti Keadilan Rakyat (PKR) membentuk pakatan baharu bersama PPBM, tetapi gagal mendaftar gabungan secara rasmi berikutan pergantungan sementara PPBM"
Positive,Duit itu kita beri semula kepada rakyat.
Positive,Saya percaya pengundi Parlimen Sungai Besar lebih mengenali diri ini.
Positive,"Geran saya pegang, Felda pegang"
Positive,"Bagaimanapun, siasatan perkara ini berjalan lancar dan kita akan lihat siapa badut serta sarkas dimaksudkan nanti"
Neutral,"Berdasarkan dapatan tersebut, pilihan raya baru-baru ini telah melihat trend global ke arah lebih ramai Ahli Parlimen muda berusia bawah 45 tahun"
Positive,"Jika kita bersama (bersatu), maka Allah SWT bersama kita, tapi kita tidak bersatu"
Positive,Kita (kerajaan negeri) tidak pernah catu.
Positive,"Apabila bandar raya berkembang, begitu juga kemakmuran, perdagangan dan pertumbuhan ekonomi."
Positive,Sebenarnya beliau sendiri sudah menyatakan tidak senang dengan sikap DAP dan Pakatan Rakyat yang makin terbuka menunjukkan perkara-perkara yang negatif terhadap hubungan agama dan kaum
Negative,"Kami kecewa dengan keputusan itu kerana ia melibatkan isu kepentingan awam,"
Negative,Jadi bebanan ini terpaksa dipikul pula oleh rakyat
Negative,menafikan perkara tersebut dan memberi jaminan bahawa tidak akan membiarkan jari palsu digunakan pihak tertentu bagi tujuan penipuan dalam pilihan raya umum akan datang.
Negative,menyifatkan psikologi dan perang saraf cuba digunakan Dr Mahathir untuk meraih simpati pengundi tidak akan menjadi kerana sudah mampu dihidu
Neutral,Pendakwaan akan dilakukan dan pengadilan akan dibuat di Malaysia
Positive,Saya secara konsisten menyatakan hasrat ingin menjadi ketua bahagian dan mengekalkan jawatan ini selepas pilihan raya akan datang.
Positive,"Syarikat konsesi yang dilantik kerajaan memberikan kerja penyenggaraan kepada kontraktor kecil yang layak, sama ada melalui undian atau sebut harga,"
Positive,"Ini adalah komitmen kementerian, dan pada masa ini kami sedang dalam perbincangan"
Positive,Program ini dilaksanakan di setiap parlimen di negeri ini bagi mengurangkan kos sara hidup rakyat dengan mengadakan jualan dengan harga yang lebih murah di pasaran
Positive,saya mahu sistem pendidikan dan kesihatan yang lebih baik untuk anak-anak saya
Negative,Di Selangor terdapat ‘kelawar-kelawar politik’ berkeliaran hanya bila tiba musim buah.
Negative,Fake news! berita palsu sejak Parlimen dibubar
Positive,Dikatakan demokratik kerana Datuk Seri Najib boleh menerima perbezaan politik dan tidak pernah ada dalam rekod kepimpinannya yang rakyat mati atau cedera kerana perbezaan parti
Positive,KKM memandang serius dan amat kesal dengan kejadian kematian bayi ini kerana ia merupakan kes yang boleh dielakkan
Neutral,"Kami akan meminta tarikh pendengaran lebih awal memandangkan pilihan raya semakin hampir,"
Negative,"Jika Amini sendiri berhujah atas jalur rasis, mana nak betul-betul integrasi dalam kepelbagaian"
Positive,"apabila pegawai kerajaan sepatutnya dikecualikan, dibenarkan mendengar semua perbincangan politik, barulah mereka mendapat semua maklumat untuk membuat pilihan terbaik"
Positive,"Pada kali ini kami turut berkongsi maklumat mengenai pelbagai perkhidmatan, pembiayaan dan program yang tersedia untuk usahawan wanita IKS di Sabah melalui perkongsian idea, pengalaman, aspirasi serta paling penting, mempromosi produk ke peringkat yang lebih luas"
Positive,Kesedaran dan pelaporan orang awam melalui saluran yang sedia ada boleh mencegah kejadian ini daripada berulang serta keselamatan dan nyawa seorang kanak-kanak yang mempunyai masa depan tidak disia-siakan melalui perbuatan yang tidak bertanggungjawab
Negative,Ini bahaya dari segi keselamatan
Negative,pihaknya turut kesal apabila penduduk terdiri dari warga emas yang tidak menerima bil air bakal berdepan tindakan pemotongan bekalan air.
Positive,"Apa pun, saya ucapkan tahniah dan syabas kepada semua penerima anugerah"
Positive,Saya harap adinda Nazri dan adinda Salleh dapat melihat semula sejarah dan saya merasakan ayahanda mereka berdua itu sahabat saya.
Negative,ada saya ini satu penindasan tersembunyi dan tidak boleh dibiarkan
Neutral,"Orang bertanding hari ini untuk menang, bukan hanya berbangga dengan sejarah lampau"
Negative,Hukuman tak setimpal dengan jenayah yang dilakukan
Positive,"Kami masih mempunyai perniagaan lain, termasuk perniagaan digital kami serta Santan, yang mana Santan menerima minat di seluruh Asia dan beberapa pihak telah menghubungi kami untuk aktiviti francais sebagai restoran makanan segera Asia"
Positive,"Orang kata ekonomi susah, rakyat hidup sukar, cuba pergi ke lapangan terbang KLIA, berapa ramai rakyat Malaysia yang melancong ke luar negara, pergi pasar raya penuh orang tidak berkurangan."
Positive,"Memang 1MDB telah mewujudkan satu krisis dan suasana kewangan agak menggerunkan Malaysia, tapi kalau isu hutang-hutang ini dapat diselesaikan, pastinya ia akan mengubah imej dan kedudukan kewangan negara"
Negative,Adalah malang Mohamed Azmin tidak ambil peluang ini untuk membuktikan komitmen anti-rasuah Harapan di negeri itu
Positive,"Bila kerajaan kita kuat, baru kita boleh meneruskan usaha membantu rakyat"
