label,text
Positive,"Biarpun orang kata belajar di sekolah ini tidak sampai ke mana, sekurang-kurangnya anak kami ada pengetahuan asas dan lebih berakhlak"
Positive,Mereka harus tunjukkan komitmen.
Positive,Jika ada di kalangan mereka yang terlibat dalam aktiviti pengganas dan tentunya mana-mana negara tidak perlu menyatakan kekhuatiran atau kegusaran terhadap apa yang dilakukan oleh kerajaan Malaysia ini
Positive,"Justeru, kami menasihatkan orang ramai supaya mengabaikan kajian dalam talian ini"
Positive,Saya tidak akan lari ke kawasan lain. 
Positive,"Pembangunan ini antara matlamat saya untuk memberikan wajah baharu, jika dulu tiada yang tahu di mana Bemban, tapi saya yakin Bemban mampu menjadi tumpuan masyarakat luar dan dalam Melaka"
Neutral,Dia kata nak bawa satu keluarga ke tanah suci.
Positive,Dan untuk kita ke arah menjadi sebuah negara yang berpendapatan tinggi kita tidak hanya boleh menggalakkan pekerja Malaysia menjadi pekerja yang makan gaji
Positive,Kita akan mempromosi dan meningkatkan kesedaran masyarakat India mengenai kepentingan melabur dan menggunakan peluang ini sambil berharap semua 1.5 bilion unit amanah itu dapat dilanggan dalam tempoh enam bulan selepas pelancarannya
Positive,Momentum PRU13 masih ada
Positive,Pilihan raya bukan sahaja mengenai parti politik tetapi memilih individu yang dapat menjaga kawasan dengan baik
Positive,Perlu diambil tindakan terhadap yang bertanggung jawab dan mereka yang mendapat manfaat dari kerja merompak kekayaan negara
Neutral,Tidak peroleh apa-apa
Positive,Aplikasi ini dibangunkan untuk menyediakan kemudahan semakan secara mudah alih kepada orang awam untuk mengetahui status pendaftaran sebagai pemilih.
Neutral,Ada pusat tahfiz yang menggunakan bangunan wakaf oleh masyarakat setempat sebagai pusat pengajian agama
Positive,Semua maklumat akan disalurkan bukan hanya kepada Aseanapol (Polis Asean) tetapi kepada Interpol (Polis Antarabangsa) supaya senarai suspek atau sebarang data yang diperoleh dapat menarik perhatian antarabangsa
Negative,Mengapa kerajaan tidak bangkitkan isu ini?
Positive,Kita turut menganjurkan program berkaitan keusahawanan sebagai usaha meningkatkan pendapatan mereka sekali gus meringankan beban keluarga di masa hadapan
Positive,"Rakyat Malaysia yang berfikiran waras akan ingat bagaimana Mahathir memulakan serangan berita palsu terhadap 1MDB, apabila menyatakan dengan salah bahawa 'RM42 bilion telah hilang', hanya untuk dibuktikan berulang kali bahawa kenyataan itu adalah salah"
Positive,Apa yang diperkatakan orang ramai itu sebenarnya tidak mempengaruhi sedikit pun penduduk di kawasan ini.
Positive,"Malah, ada sesetengah sekolah luar bandar didapati menunjukkan prestasi lebih baik berbanding sekolah bandar seperti di Bagan Datuk, apatah lagi jika peralatan (komputer) digunakan, pasti prestasi pada masa depan lebih cemerlang"
Neutral,PM sedarkah Kelantan wujud terlebih dulu sebelum Malaysia?
Positive,Kita sudah hantar senarai calon dan iaterpulang kepada pucuk pimpinan untuk buat keputusan
Positive,"Kebanyakan ugutan yang diterima tidak berpanjangan, ia hanya sekadar ugutan dan tidak ada tindakan daripada pihak yang mengugut"
Negative,Ada anasir luar yang intai kita tapi apa penting ialah kita jaga rumah tangga kita.
Positive,Kementerian amat berbesar hati dengan kesungguhan mereka yang terlibat dalam memastikan hak-hak pekerja tidak didiskriminasikan seperti yang termaktub dalam Perlembagaan
Negative,Pilihan raya penting tapi perlembagaan tak penting?
Neutral,Teknokrat ini boleh dari parlimen atau sektor swasta
Positive,"Penting buat kita kerana pada PKR, kita sentiasa utamakan hak wanita"
Positive,Ia sekaligus mewujudkan hubungan baik antara pemimpin dan masyarakat
Positive,Kita semua harus bersyukur kerana kerajaan sentiasa prihatin dengan situasi semasa dan berusaha melaksanakan pelbagai projek bagi membantu meringankan beban yang ditanggung
Positive,Dahulu kami tidak percaya apabila orang cakap Dr Mahathir seorang diktator
Neutral,"Mereka ini terdiri daripada pemerhati tempatan dan juga luar negara,"
Negative,"Tetapi wujud pula parti kecik yang mahu bertanding di Kelantan, sedangkan parti tersebut tidak punyai ramai ahli"
Positive,Kami akan menjalankan pemeriksaan (untuk mengetahui punca kegagalan sistem)
Neutral,Saya baru baca pasal kahwin muta’ah
Positive,"Kami turut menggesa Suruhanjaya Hak Asasi Manusia (Suhakam) untuk menjalankan inkuiri berhubung dakwaan pelanggaran hak asasi dalam kes terbabit dan mengemukakan laporan berhubung siasatan, penemuan dan rumusannya"
Positive,Seminar dan forum itu adalah khusus untuk memberi fokus kepada kanak-kanak agar  menjauhi diri mereka dan menutup peluang kepada penjenayah untuk melakukan jenayah
Positive,"Ini merupakan salah satu sumbangan kami kepada Kelantan pasca banjir, dan sumbangan serta bantuan tidak terhad di Kelantan sahaja, tetapi kami turut membantu mangsa banjir di negeri lain yang terlibat dengan bencana alam ini,"
Positive,Sudah  tiba masanya untuk Mukhriz berhenti memutarbelitkan fakta dengan sengaja untuk menyelamatkan dirinya dan tampil bersih
Positive,Kita mempunyai MoU (Memorandum Persefahaman) dengan Arab Saudi dalam bidang keselamatan dan kita akan terus berkongsi pengalaman dan kepakaran Malaysia dalam deradikalisasi untuk pengganas khususnya daesh
Negative,"Sebab itu dihujahkan se­tiap perkara berlaku terutama se­kali berkaitan politik, ia tercetus bukan secara tidak sengaja tetapi disusun sedemikian rupa"
Neutral,Ia juga mungkin menyebabkan gangguan bekalan elektrik jika percikan arka (flashover) berlaku
Positive,Kita telah membuat lawatan dan pemeriksaan ke kilang tersebut sejurus kejadian yang menimpa mangsa dilaporkan
Negative,"takut, letih dan bimbang tidak dapat keluar dari situ"
Negative,"Jika berlaku demikian maka ia adalah rasuah, atau disebut dengan istilah ‘kick back’. "
Negative,Saya rasa orang ramai tidak mempunyai wang
Negative,Semua orang tahu kerjaaan sudah mencuba skim seperti ini dengan orang Melayu dan masih ada orang Melayu miskin
Neutral,Gelombang senyap
Positive,"Pelaksanaan penyelenggaraan itu dibantu oleh pihak bomba yang akan menentukan piawaian keselamatan yang ditetapkan,"
Positive,Ambil sahaja tindakan tarik balik sijil halal di hotel-hotel ini
Positive,"Jadi itulah sebab saya ingin jadikan tahun ini tahun teristimewa dan saya akan bekerja lebih kuat, malah timbalan saya pun akan kerja lebih gigih lagi"
Neutral,Selesaikan masalah mereka dengan JPPM
Positive,"UMNO dan Perdana Menteri, Datuk Seri Najib Razak menarik lebih banyak minat daripada wanita berbanding parti pembangkang dan Dr Mahathir"
Positive,"Tidak kira Parlimen atau DUN, paling mustahak bukan kerusi kami rebutkan, tetapi solidariti daripada kami dan seluruh pengundi juga jentera parti"
Negative,"Ringkasnya kawalan ke atas dana parti politik di Malaysia terlalu longgar, atau sebenarnya, langsung tiada,"
Negative,"Kerajaan juga memberi alasan bahawa pada 2014 sehingga 2016 tiada kejadian banjir monsun melanda Pulau Pinang, kecuali kejadian banjir kilat sahaja"
Neutral,Kehadiran diplomat Israel ini adalah satu tamparan ke atas umat Islam dan perdana menteri perlu tampil memberi penjelasan mengenai perkara ini
Positive,Kita mahu mulakan episod baru
Positive,Ini kerana kerajaan yang ada pada hari ini menghargai masyarakat luar bandar
Positive,Saya dapat rasakan perasaannya seperti apa yang saya rasai semasa berumur 11 tahun untuk memahami apa yang sedang berlaku
Positive,"Kami akan mengemaskini perkembangan terkini, sebaik saja kerja penyelenggaraan selesai,"
Positive,KKM memandang serius dan amat kesal dengan kejadian kematian bayi ini kerana ia merupakan kes yang boleh dielakkan
Positive,"Jika kerajaan benar-benar mahu membantu kaum India, mereka patut membantu dari segi perumahan"
Positive,ramai yang berpandangan bahawa kredibiliti sistem pilihan raya perlu ditingkatkan
Negative,Tindakan Speaker tidak membenarkan usul dan soalan-soalan berkenaan skandal 1MDB dibentangkan atau ditanya memberi tanggapan bahawa beliau menjadi sekutu untuk menutup skandal rasuah
Positive,Kita menjanjikan kepada mereka bahawa agenda itu tidak bermusim tetapi perlu mendapat mandat untuk merealisasikannya
Negative,"Kecurian, penyeludupan memang berlaku dan dilakukan penjenayah dari negara jiran, sampaikan kalau buat kerja kat ladang, kami tak boleh tinggal barang, kalau tak habis hilang."
Positive,"Saya sekali lagi ucapkan selamat menyambut ulang tahun ke-40 kepada semua warga PNB, dan saya yakin masa depan PNB akan terus cemerlang"
Positive,"Ketika sesi pengundian sedang berlangsung, ada ejen tempat mengundi yang menjaga kaunter pengundian"
Negative,"Kita ambil contoh di Johor, ada yang wujudkan persepsi bahawa orang Cina dan Singapura telah menekan orang Melayu, lalu dipinggirkan. "
Neutral,"Kerana ia akan menjadi pilihan raya umum paling penting dalam sejarah Malaysia, di mana ia akan menentukan sama ada terdapat perubahan Kerajaan Persekutuan di Putrajaya buat kali pertama dalam 61 tahun"
Negative,Sebenarnya niatnya memang tidak mahu memberikan peruntukan kepada kita
Positive,Tiada halangan bagi mereka yang masih belum mendaftar sebagai pemilih untuk berbuat demikian selagi Daftar Pemilih belum diwartakan
Negative,Ia amat merugikan negara
Positive,"Pilihan raya dapat dilaksanakan dengan lebih murah, mudah dan cekap, malah keputusannya boleh diprogramkan dan dicapai secara langsung"
Negative,"Ini negara apa sebenarnya, nyanyi pun salah"
Positive,Jadi ia tidak ada kaitan dengan pilihan raya
Neutral,"Mengikut fail cukai kita, tidak ada. "
Neutral,"Sekarang saya jumpa industri dan tanya kepada mereka, apakah yang mereka mahu?"
Positive,Kita sudah tingkatkan pemantauan rapi dengan mengambil pelbagai tindakan seperti memasang jaring keselamatan
Positive,Kami akan memastikan bahawa kebajikan pekerja dari Kemboja dilindungi
Negative,Ada kebimbangan mengenai dasar awam dalam kalangan pengundi terutamanya di kawasan orang miskin luar bandar
Positive,"Walaupun akta ini digubal, ia tidak bermakna kerajaan mengawal freedom of speech rakyat"
Neutral,"Kita tanya menteri besar, beliau kata jumpa pegawai daerah. "
Positive,"Saya mungkin akan sambung ijazah undang-undang, dan sudah tentu saya akan cuba kuruskan badan."
Negative,"Malah Presiden Pas sendiri, Datuk Seri Abdul Hadi Awang pernah kata saya ibarat mayat hidup tunggu nak tanam saja, saya telan semua cemuhan dengan sabar seperti pesanan kedua-dua Allahyarham ibu dan ayah"
Neutral,"Jelaslah Tsunami Melayu Johor bukan semata-mata kerana pengaruh Pengerusi Bersatu, Tan Sri Muhyiddin Yassin."
Positive,Saya bersetuju dengan pegangan Yang Amat Berhormat Perdana Menteri mengenai perkara ini.
Positive,Kita juga mohon KKM untuk mempertimbangkan bagi menambah pusat dialisis di Chemomoi kerana agak jauh untuk mereka datang ke Hospital Bentong
Negative,"Pilihan raya ini kelihatan lebih kepada survivalnya, bukan kepentingan parti atau negara."
Negative,"Ia merupakan suatu kezaliman terhadap anak, isteri dan keluarga Mazlan."
Neutral,"Saya mungkin akan bertanding di Putrajaya, mungkin di Kubang Pasu, atau di Raub (Pahang) mungkin"
Neutral,Pendakwaan akan dilakukan dan pengadilan akan dibuat di Malaysia
Positive,Bila sudah peroleh segala maklumat disahkan itu baru kita boleh dakwa
Neutral,Inilah jawapan yang beliau berikan baru-baru ini dalam perbicaraan RCI
Negative,"Kita masih tak mampu untuk mengeluarkan peralatan persenjataan, apatah lagi menghasilkan kepingan artileri yang asli"
Positive,"Saya tidak boleh dedahkan perincian perbincangan aspek teknikal yang turut dihadiri oleh AGC, namun kita akan cuba bawa perkara ini (rangka perundangan berita palsu) ini kepada Kabinet secepat mungkin"
Positive,"Semua orang tahu, semua pemilik tanah yang membuat perjanjian dengan pemaju untuk membangunkan tanah mereka menjadi unit terbina"
Positive,Kerajaan berusaha menyelaraskan  harga khususnya untuk outlet di Sabah dan Sarawak
Positive,Kita akan sentiasa bergabung antara satu sama lain
Negative,"Tidak sepatutnya bekas Perdana Menteri mengeluarkan kata-kata begitu, kita ahli UMNO pernah bersamanya semasa zaman beliau berhadapan pelbagai tohmahan."
Positive,"Justeru, kita mengadakan mesyuarat bahagian dan keseluruhannya, ahli jawatankuasa (AJK) menyuarakan pendapat dan meminta saya berganding bersama Budiman menjadi calon PRU-14."
Negative,ahli akademik dan penganalisis politik Malaysia Bridget Welsh berkata PRU kali ini masih penuh dengan ketidaktentuan.
Positive,"Bukan hanya pengetahuan dalam tawhid dan fiqh, tetapi juga pengetahuan praktikal berdasarkan realiti sosial"
Positive,"Tetapi tidak ada tindakan yang diambil, jadi saya selaku ahli Parlimen dari Sabah kerajaan persekutuan sudah membuat kesalahan, kami mahu minta ganti balik RM8 bilion ini."
Positive," Gunakan pendekatan agama, motivasi… kita juga dah bincang  dengan Agensi Anti Dadah Kebangsaan (AADK) untuk mengadakan pelbagai program kesedaran untuk  golongan muda"
Negative,"Malah, tekanan ke atas tentera dan Kaunselor Myanmar, Aung San Suu Kyi juga perlu diteruskan dan di perhebatkan bagi membela nasib masyarakat Islam yang ditindas di sana"
Neutral,"Mungkin ada yang merasa terdapat kelakuan yang tidak senonoh dalam klip video tersebut, namun ia hanyalah untuk hiburan"
Negative,"Jadi ada ramai pula yang nak meniaga, dia kutuk"
Positive,"Atas kejayaan ini, saya ucap tahniah kepada kepimpinan Tan Sri Abdul Wahid Omar dan Datuk Abdul Rahman Ahmad"
Positive,Kerajaan sedar dan telah mengambil langkah pantas.
Negative,Sepatutnya orang tepuk tangan sokong saya tapi sebaliknya. Itu tak betul
Negative,"Gerakan ialah parti yang baik, tetapi orangnya (Liang) tidak baik kerana menipu, janji mahu tolong macam-macam, tetapi tidak buat"
Negative,masuk ke gelanggang bukan untuk membela nasib rakyat atau menyelamatkan negara seperti mana mereka canangkan tetapi sekadar mahu memenuhi nafsu politik merebut kekuasaan yang seolah-olah tidak mampu dibendung lagi.
Positive,"Pelabuhan Klang ketika ini adalah pelabuhan ke-12 terbesar di dunia, jadi kita nak buat secara holistik"
Neutral,"Oleh itu, beberapa orang bekas pelajar, yang sekarang ini merupakan pimpinan di dalam organisasi masing-masing"
Positive,"Jaguh sukan lahir bukan sebab keturunan, ketokohan muncul dengan latihan berterusan. Jadi, ia perlu direncana secara berstruktur, tentu Kementerian Belia dan Sukan akan diberi peruntukan lebih besar kerana sukan bukan hanya untuk suka-suka"
Positive,"Jadi, tugas kita semua untuk memaklumkan dan mendidik tentang kepentingan mengambil bahagian dalam sistem demokrasi di Malaysia dengan cara betul, bukannya merosakkan undi."
Neutral,"Memang kalau dikira dari segi gender, guru wanita dah atasi guru lelaki dan tak ada lah kita nak lantik guru lelaki sahaja jadi guru disiplin  sebab kemasukan wanita ke Institut Pendidikan Guru ( IPG) dah 70 peratus."
Positive,Saya harap kerajaan negeri mempercepatkan proses kelulusan dan pewartaan tanah itu sebab proses mengukur sudah pun selesai tahun lalu
Positive,SPR masih kekal dengan keputusan itu adalah wajib untuk semua pihak termasuk gabungan pembangkang PKR menghormatinya.
Positive,Saya harap pemimpin akan datang bawa perkara ini (kenegaraan bersama) lebih baik untuk rakyat Malaysia
Neutral,Artikel itu yang mendakwa saya menerima RM100 juta daripada Kuok (Tan Sri Robert Kuok) yang dibayar selama 4 tahun sejak pilihan raya umum (PRU) lalu.
Positive,"Kita menetapkan setiap peluang pekerjaan yang ditawarkan haruslah minimum RM1,500 sebulan"
Negative,Ini adalah fitnah terbesar kerana hidangan babi dalam gambar itu sangat sensitif kepada umat Islam.
Positive,Kita mahukan pembangkang yang konstruktif dan bukannya destruktif kerana tiada pembangunan dapat dilaksanakan dengan kehadiran pembangkang yang sentiasa bersikap negatif
Positive,Kerajaan akan terus berusaha untuk melahirkan lebih ramai usahawan tani atau agropreneur berpendapatan tinggi di negara ini sekali gus bagi memenuhi permintaan produk makanan yang kian meningkat di dalam negara dan peringkat antarabangsa
Positive,Ditambah dengan dasar-dasar yang dibuat termasuk dasar pembangunan 30 tahun turut menjadi pendorong kepada seluruh kepimpinan negeri memberi sokongan kepada beliau bagi membolehkan ia menjadi realiti
Positive,Kami telah menerima permohonan untuk menjadikan flat perumahan sedia ada menjadi bilik darjah tingkatan enam dan kementerian telah meluluskan peruntukan RM15 juta bagi projek tersebut
Positive,Bukan semua yang dilakukan oleh kerajaan membawa keburukan kepada rakyat
Negative,Rata-ratanya menolak Barisan Nasional (BN) atas isu-isu yang melanda
Negative,"Kalau mereka dibiarkan bertugas dengan keadaan tidak sihat, kesihatan mereka akan bertambah teruk kerana mereka tidak selesa dan ini akan menjejaskan produktiviti perkhidmatan awam"
Positive,"Saya lebih suka jika kita fokus kepada cara untuk selesaikan hutang negara, kadar GST akan dikurangkan di Malaysia bukan sebagaimana negara luar yang meningkat kadar GST bagi menyelesaikan soal hutang"
Negative,Hal ini jelas membuktikan bahawa aduan-aduan berkenaan datangnya daripada kumpulan dedak sistematik yang tujuannya hanya satu iaitu mengharamkan parti Bersatu
Neutral,"Sebaliknya, pengundi Melayu amat terkejut dengan kempen yang begitu agresif"
Negative,"Ada yang nampak boleh menang di peringkat awal sahaja, selepas bergelar wakil rakyat, bertukar menjadi wakil rakyat selalu hilang"
Neutral,"Tetapi, saya tidak nampak nama itu,"
Negative,Melayu Johor akan bangkit untuk mempertahankan hak mereka yang telah dimusnahkan oleh pemimpin BN
Neutral,"Dia juga melihat kesan kumulatifnya, yang saya rasa pada umurnya sekarang dan selepas melalui semua itu, ianya cukup."
Negative,"Dalam keadaan terdesak ini, mungkin kerajaan akan jual (aset itu) kepada mana-mana pihak sebab nak dapatkan duit"
Negative,Pelbagai dakwaan pembangkang terhadap pelaburan China di Malaysia yang dikatakan memberi kesan negatif terhadap negara hanya bertujuan mencetuskan kemarahan rakyat terhadap kerajaan
Positive,"Sebagai penjawat awam, tuan puan adalah tulang belakang kerajaan dan segala yang kita (kerajaan) harapkan untuk membantu kebajikan rakyat serta membangunkan negara"
Positive,"Saya rasa niat itu sangat mulia, kerajaan mempunyai niat sangat mulia"
Neutral,"Bagaimanapun, pelancongan sering berubah-ubah dan kadang-kadang tidak dapat diramalkan kerana corak perjalanan dan sentimen dipengaruhi oleh pelbagai faktor."
Positive,"Sebab itu kita ada kurikulum fleksibel… saya percaya dengan kerjasama begitu erat ini, kita akan mendapati isu-isu kebolehpasaran dapat dipertingkatkan sepenuhnya"
Positive,"Sebab itu kita perlu kerja lebih gigih bukan saja untuk menang kerusi DAP, tapi pada masa sama turut bantu rakan-rakan Harapan."
Negative,Tetapi kehidupan kami terjejas oleh kerana pembalakan meluas oleh syarikat-syarikat swasta.
Positive,Sepatutnya dalam waktu kritikal di mana Pakatan Harapan dan Gagasan Sejahtera bersaing hebat seperti sekarang lebih ramai tokoh baru ditonjolkan di setiap kerusi.
Neutral,Pada tahun 2013 saya bertemu beberapa kali dengan pegawai tertinggi perundangan negara tetapi ia adalah sulit serta persendirian. 
Positive,Rakyat Malaysia diminta sentiasa tenang dan mengikuti berita tempatan untuk mengetahui perkembangan terkini
Positive,"Pada masa ini, manggis, nanas dan daging itik dieksport ke Jepun. "
Negative,Sepatutnya isu ini tidak timbul lagi kerana penjelasan telah dilakukan dan jelas ia merupakan perbuatan tidak bertanggungjawab oleh pihak tertentu dengan memutarbelitkan kenyataan dan mereka-reka fitnah
Positive,"Kami berpendapat, sebarang persoalan mengaitkan isu politik yang timbul mestilah diselesaikan dengan hujah dan fakta."
Positive,"Tunggu, rakyat akan lahirkan di PRU14, InsyaAllah, dalam sejarah MP dari PH Marang yang pertama"
Positive,Idea yang baik kerana dapat memberi kelancaran trafik dan saya percaya ia boleh dipersetujui menerusi rundingan dua hala kedua-dua negara
Positive,"secara makro melihat kepada petunjuk data yang diberikan, ekonomi kita masih berada pada landasannya dan ini juga menjadi kriteria dalam menarik pelabur asing untuk terus melabur di negara ini"
Positive,kerajaan bertanggungjawab dan sentiasa mempertahankan dan menggembangkan Islam serta menjaga kebajikan rakyat secara keseluruhan tanpa mengira latar belakang agama dan bangsa.
Negative,"Ramai graduan muda hari ini bekerja dalam bidang tidak sesuai dengan kelulusan, aspirasi dan gaji mereka"
Negative,"Malah, caj ini tidak termasuk dalam resit pembeli dan ia menimbulkan tanda tanya ke mana perginya duit itu"
Neutral,Siapa di dunia ini yang menjalankan perniagaan dengan memarahi pengguna mereka?
Negative,"Adalah tidak benar dakwaan yang disebarkan secara meluas dalam media sosial, yang turut disertakan dengan foto yang menunjukkan seolah-olah saya terkedu di sisi beliau, bahawa saya kononnya terus terkucil ketakutan sebaik sahaja Tun Dr Mahathir sampai ke majlis wacana itu"
Negative,"Konsesi ambil untung atas angin, itulah sebabnya salah satu kualiti binaan yang dibina tidak ikut piawaian, apabila ada kecacatan kontraktor kelas F yang dipersalahkan"
Positive,(Felda) akan daftar balik tanah itu kepada nama kita.
Positive,"Untuk menjadi seorang pendakwah atau ulama holistik, kita perlu mempunyai kombinasi pelbagai aspek pengetahuan"
Positive,"Sebaik kita dapat konsensus dalam Kabinet, saya berharap kita boleh bawa undang-undang baharu ini ke sesi Parlimen akan datang"
Positive,"Saya konsisten jalankan Ziarah Kasih, kerana ia medium terbaik mendekatkan saya dengan rakyat, memahami keperluan dan masalah mereka."
Positive,Tiada apa yang boleh menidakkan kita kalau kita bersatu.
Positive,Saya harap semua pengusaha vape ikut peraturan dan undang-undang bagi mengelak tindakan diambil terhadap mereka
Neutral,Malangnya apabila sampai tadi IGP tak ada kerana katanya beliau terpaksa menghadiri Forum Bandar Sedunia
Negative,Sana sini tidak jadi.
Neutral," Ambil Rukun Negara, Ambil Perlembagaan Persekutuan dan akta begitu juga jawapannya."
Positive,"Keadaan sekarang, Alhamdulillah sudah selesai, tidak ada apa-apa. Dalam kampung juga aman, cuma ada yang datang bertanya khabar sahaja. Mungkin semua sibuk tumpu pilihan raya"
Positive,Kita ada cara lain untuk memastikan kualiti murid sentiasa dipantau
Positive,"Bagus, fantastik"
Positive,Saya percaya pengundi Parlimen Sungai Besar lebih mengenali diri ini.
Neutral,Ini masih dalam kajian sekarang ini dan kita akan umum dalam masa terdekat.
Positive,Terdapat kumpulan Penyelidikan dan Pembangunan (R&D) bersama antara China dan Jerman yang membangunkan standard bagi pembuatan kepintaran
Positive,Kita sudah menjalankan kajian perbandingan dengan negara lain dan (kadar faedah) kita berada di pertengahan
Positive,"Justeru, kita amat teruja menantikan pengumuman itu nanti. "
Positive,"Anda masih boleh lagi kongsi maklumat serta berita dalam mana-mana media sosial, asalkan maklumat dan berita yang disebarkan itu adalah benar,"
Positive,"Namun saya tegaskan kes berkenaan tiada kaitan dengan kerajaan negeri, malah kita tidak pernah masuk campur kerana hak pengurniaan dan penarikan pingat adalah hak keistimewaan baginda sultan"
Positive,"Tegaskan kepada parti bertanding di dalam pilihanraya, mereka hanya mendapat undi sekiranya dapat menunjukkan bagaimana mereka dapat memberikan perkhidmatan terbaik kepada rakyat. "
Neutral,Itu ada jadualnya
Negative,"Persoalannya, kenapa BN ingin memaksa pelajar sekolah untuk hadir ke program politik mereka. "
Positive,"Sejak 35 tahun lepas, kami telah membantu negara-negara kurang maju dalam bidang seperti perancangan ekonomi, kewangan dan perdagangan, pertanian, pendidikan, latihan teknikal industri dan diplomasi"
Positive,"Jika kalah pun, kita kurangkan majoriti,"
Negative,pembangkang yang semakin bersifat tempatan menonjolkan lagi politik etnik dan kesetiaan tokoh
Neutral,"Bagaimanapun kita sedang menunggu impak dia, dan setelah itu kita lihat sama ada berbaloi atau sesuai sebelum kita melaksanakan sepenuhnya penggunaan buku teks digital, kerana ia melibatkan kos yang sangat tinggi"
Positive,Kita tidak akan berkompromi dengan sikap pegawai seperti itu yang menjejaskan imej JPJ dan kementerian pengangkutan
Positive,Ini bermakna segala kelengkapan di semua bilik darjah nanti akan mempunyai peralatan pendidikan yang terkini dan moden
Neutral," Kalau Tan Sri tak benarkan kami membawa keluar, terpaksa akur. "
Neutral,Setakat ini masih belum ada sebarang maklumbalas dari Pengerusi PH Selangor
Negative,"Dalam PKR misalnya, kumpulan yang menyokong timbalan presiden PKR merangkap Menteri Besar Selangor Datuk Seri Azmin Ali tak berminat sangat"
Positive,"Saya bersama Jakim, sama-sama turun ke lapangan untuk mendekati mereka"
Positive,Mereka tidak diletakkan dalam apa-apa operasi taktikal di barisan hadapan
Neutral,"Hadi berharap DAP juga akan menyokong dirinya sendiri sebagai calon perdana menteri Pakatan Rakyat, kerana PAS (tidak bersetuju) dengan Anwar"
